period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
40,37,62,0.5,15,85,7,-2806.0,6.747271299362183
55,38,67,0.6000000000000001,10,80,9,13744.0,6.7276551723480225
55,32,67,0.30000000000000004,15,75,13,14432.0,6.745881795883179
65,26,64,0.30000000000000004,20,75,7,9373.0,6.887428045272827
40,34,70,0.4,10,85,14,11690.0,6.842945098876953
35,30,74,0.6000000000000001,20,75,17,4478.0,7.6967291831970215
35,34,67,0.6000000000000001,10,90,12,12224.0,7.706324815750122
65,36,63,0.1,20,90,17,26145.0,7.77126407623291
70,29,70,0.30000000000000004,20,90,4,7301.0,7.695827960968018
70,31,70,0.1,20,75,8,-1712.0,7.64329719543457
50,38,60,0.6000000000000001,10,80,12,14984.0,7.947947025299072
60,35,66,0.2,15,85,15,20187.0,7.772105932235718
70,27,66,0.30000000000000004,20,90,4,12994.0,7.740756988525391
55,40,71,0.2,10,75,19,1246.0,7.847143888473511
30,36,65,0.1,20,80,5,-9271.0,6.948429107666016
65,33,60,0.5,10,90,9,31366.0,6.991786003112793
50,31,63,0.6000000000000001,20,80,16,23670.0,7.028290033340454
50,26,66,0.1,15,90,7,7196.0,7.178361177444458
50,33,73,0.4,20,80,3,2653.0,7.045288801193237
30,25,74,0.2,15,80,7,8288.0,7.010654926300049
65,26,70,0.5,10,80,14,5537.0,6.999633312225342
60,38,60,0.4,10,90,11,28056.0,7.0505290031433105
40,37,75,0.2,15,85,4,-2839.0,6.902177810668945
55,25,75,0.5,10,80,6,7007.0,7.231269121170044
65,30,67,0.4,10,90,19,10813.0,7.209066152572632
55,30,73,0.4,15,75,2,-5076.0,7.281645774841309
30,29,71,0.2,15,85,18,16322.0,7.212445020675659
50,34,70,0.6000000000000001,15,75,12,9099.0,7.245774030685425
40,36,66,0.6000000000000001,10,75,11,4207.0,7.29643702507019
40,32,60,0.4,15,90,3,11880.0,7.312068700790405
45,32,71,0.1,15,80,14,8270.0,7.304644823074341
35,30,70,0.1,20,75,14,12062.0,7.29071307182312
65,32,61,0.6000000000000001,15,90,17,25146.0,7.431074857711792
35,36,70,0.4,20,85,6,3350.0,7.410192251205444
70,29,74,0.30000000000000004,20,85,12,991.0,7.341794013977051
70,36,75,0.1,15,85,2,-3006.0,7.463937997817993
55,37,75,0.1,20,90,14,-904.0,7.5350987911224365
45,33,70,0.30000000000000004,15,85,8,15042.0,7.617496967315674
35,27,75,0.30000000000000004,10,80,8,-5699.0,7.474527835845947
40,39,64,0.30000000000000004,15,90,8,-8109.0,7.5313591957092285
50,35,75,0.5,10,85,14,352.0,7.514148950576782
55,34,65,0.2,15,75,9,20643.0,7.144964933395386
50,33,69,0.5,15,80,3,12685.0,7.203115940093994
60,34,61,0.1,20,85,3,35546.0,7.350192070007324
60,39,67,0.30000000000000004,10,90,2,10444.0,7.285697937011719
55,38,72,0.1,20,75,10,-281.0,7.342544078826904
35,36,69,0.4,15,80,6,6932.0,7.186230182647705
30,33,62,0.30000000000000004,15,90,14,-3508.0,7.370267868041992
40,29,74,0.2,20,80,18,-5723.0,7.262474060058594
70,35,70,0.30000000000000004,15,80,9,-3680.0,7.305300951004028
70,30,73,0.1,10,85,7,414.0,7.286659002304077
45,32,68,0.4,20,75,6,12934.0,7.296936988830566
30,26,65,0.2,10,85,19,19756.0,7.366907358169556
50,35,70,0.1,20,80,10,8720.0,7.170403957366943
45,27,66,0.2,20,90,9,14134.0,7.122326850891113
55,30,73,0.2,15,75,7,-5046.0,7.169155120849609
70,39,64,0.6000000000000001,10,75,12,16127.0,7.208398103713989
70,36,64,0.5,10,90,10,15526.0,7.454615116119385
65,30,73,0.1,20,85,11,856.0,7.271608829498291
50,37,71,0.5,20,85,19,5481.0,7.338162899017334
50,34,75,0.5,10,85,13,1186.0,7.294738054275513
60,25,60,0.2,10,90,18,10357.0,7.40793514251709
40,27,68,0.5,20,80,3,11943.0,7.362804889678955
35,33,67,0.4,10,80,7,15724.0,7.2959818840026855
55,32,61,0.30000000000000004,20,85,17,36278.0,7.381611108779907
40,28,63,0.30000000000000004,15,75,6,21072.0,7.289535999298096
60,38,62,0.4,15,75,7,26152.0,7.413744926452637
30,32,64,0.2,20,75,19,944.0,7.438308954238892
40,38,63,0.4,20,90,16,-4836.0,7.498202085494995
35,26,73,0.30000000000000004,10,75,2,5732.0,7.2336156368255615
55,25,67,0.1,20,75,8,7756.0,7.509414911270142
50,40,67,0.4,20,90,5,4398.0,7.4344611167907715
40,36,72,0.6000000000000001,20,90,7,4060.0,7.4757068157196045
35,30,75,0.6000000000000001,15,90,7,-1138.0,7.501889228820801
45,36,67,0.5,15,75,6,14835.0,7.4137609004974365
60,27,68,0.6000000000000001,10,80,2,10293.0,7.488290071487427
55,25,71,0.2,10,75,16,4476.0,7.4045140743255615
45,40,60,0.4,10,90,19,-7982.0,7.825073957443237
35,39,62,0.1,10,80,2,-10385.0,7.87103796005249
65,36,67,0.6000000000000001,20,85,5,9449.0,7.852731943130493
65,29,65,0.4,10,80,2,12201.0,7.895308971405029
30,30,66,0.4,15,80,19,10080.0,7.783466815948486
70,30,67,0.30000000000000004,15,80,5,3480.0,7.844977140426636
50,31,62,0.30000000000000004,15,80,14,28938.0,7.839629173278809
50,28,69,0.4,15,90,12,11090.0,7.9469780921936035
40,31,62,0.2,15,80,11,16867.0,7.899773120880127
40,35,65,0.30000000000000004,10,90,4,7076.0,7.662760972976685
50,25,69,0.30000000000000004,15,75,3,8992.0,7.549590110778809
35,36,60,0.4,15,75,17,-2416.0,7.69975209236145
60,34,64,0.30000000000000004,20,85,4,31913.0,7.615653991699219
30,28,61,0.5,15,80,15,11540.0,7.622097015380859
50,30,65,0.5,15,90,5,22086.0,7.592925786972046
60,33,71,0.2,15,85,8,-583.0,7.641242027282715
40,36,71,0.2,15,75,19,3185.0,7.5062689781188965
60,39,67,0.1,15,75,4,9993.0,7.5750892162323
45,36,62,0.2,20,75,8,13092.0,7.518334865570068
70,37,62,0.4,10,75,6,25330.0,7.52472186088562
65,30,62,0.30000000000000004,10,85,10,17139.0,7.454046010971069
35,31,61,0.5,20,75,8,12292.0,7.630069017410278
60,29,67,0.1,15,80,11,7192.0,7.503360986709595
35,40,63,0.4,15,85,17,-17496.0,7.756988048553467
45,29,68,0.4,20,85,15,8820.0,7.548102140426636
40,30,67,0.2,15,90,3,13207.0,7.530508041381836
65,39,67,0.30000000000000004,15,90,2,5994.0,7.572731971740723
35,32,73,0.2,15,80,14,11516.0,7.509989023208618
70,30,70,0.2,20,80,19,-82.0,7.625997066497803
60,28,69,0.6000000000000001,10,90,4,4433.0,7.640980005264282
65,38,75,0.2,10,85,9,-5642.0,7.697454214096069
35,32,74,0.4,10,80,19,2640.0,7.608814001083374
45,34,60,0.6000000000000001,10,75,4,17085.0,7.600723028182983
65,35,69,0.1,20,75,15,1020.0,7.667742967605591
60,38,63,0.1,20,80,9,23856.0,7.8171751499176025
35,34,72,0.30000000000000004,20,75,15,5893.0,7.629266977310181
70,38,75,0.4,10,90,10,-6085.0,7.6984288692474365
55,30,63,0.2,15,75,4,27534.0,7.714541912078857
65,35,75,0.5,10,90,7,-2392.0,7.519207954406738
40,38,66,0.5,15,90,17,-512.0,7.537704944610596
35,34,62,0.5,20,80,10,7610.0,7.551431894302368
70,40,75,0.5,15,75,9,-7743.0,7.633096933364868
60,29,61,0.4,10,85,15,17250.0,7.689617156982422
40,28,73,0.4,15,90,18,-1062.0,7.772484064102173
50,34,62,0.2,15,80,10,28818.0,7.866038084030151
70,39,66,0.5,20,85,12,7076.0,7.768610000610352
65,34,74,0.2,20,80,8,-2940.0,7.735485315322876
35,29,68,0.30000000000000004,15,80,9,18026.0,7.948413133621216
70,30,61,0.30000000000000004,15,85,9,15202.0,7.790086030960083
50,35,74,0.6000000000000001,10,85,2,836.0,7.8729212284088135
40,32,74,0.2,20,90,12,-1784.0,7.811147928237915
50,39,72,0.5,15,80,17,48.0,7.788225173950195
35,38,72,0.6000000000000001,15,90,5,-3512.0,7.6690051555633545
55,33,60,0.2,10,80,13,39028.0,7.9066221714019775
60,33,69,0.5,10,85,19,10912.0,7.7421958446502686
30,29,69,0.6000000000000001,15,75,5,16044.0,7.732491970062256
55,39,65,0.1,20,80,6,17770.0,7.826560974121094
40,31,68,0.4,20,80,4,10065.0,7.839161157608032
60,31,67,0.6000000000000001,20,85,18,8288.0,7.960910081863403
60,30,72,0.2,20,85,2,-2570.0,7.738536834716797
55,31,68,0.1,10,90,7,5504.0,7.757411956787109
55,37,74,0.1,10,75,18,-1053.0,7.8908820152282715
50,30,65,0.4,10,90,11,21324.0,7.882918834686279
60,26,68,0.2,10,80,8,10174.0,7.798883676528931
70,39,68,0.1,15,85,12,3600.0,8.034472942352295
55,40,72,0.2,15,80,10,-1469.0,7.909348011016846
55,36,69,0.2,20,80,7,12942.0,7.96424412727356
65,30,71,0.1,20,75,2,6838.0,7.888093948364258
65,25,73,0.6000000000000001,15,90,13,6345.0,7.857147932052612
65,27,63,0.6000000000000001,20,90,19,11662.0,7.968629837036133
50,26,65,0.6000000000000001,10,90,10,10570.0,7.896670341491699
65,36,71,0.1,10,90,19,-391.0,7.894673824310303
35,39,68,0.1,20,80,10,-5035.0,8.097301006317139
30,31,61,0.2,15,90,15,-3442.0,8.041184902191162
55,26,62,0.1,10,90,9,12991.0,8.23266887664795
60,36,75,0.1,20,90,12,-1569.0,8.024261951446533
55,37,68,0.6000000000000001,10,75,13,14250.0,8.05991005897522
50,38,63,0.6000000000000001,15,75,18,10630.0,8.327411890029907
65,39,62,0.30000000000000004,10,80,16,21227.0,8.117368221282959
50,40,71,0.1,10,75,5,2181.0,8.068209171295166
60,29,66,0.1,20,85,13,11948.0,8.155861139297485
60,37,75,0.2,20,80,9,-2723.0,7.722630977630615
70,35,66,0.6000000000000001,15,90,7,6448.0,7.935508966445923
70,37,60,0.30000000000000004,15,80,9,32766.0,7.9375340938568115
65,33,69,0.5,20,80,2,531.0,7.782271862030029
35,33,60,0.2,15,80,8,6106.0,7.828144073486328
55,39,70,0.5,15,80,11,4862.0,7.811523199081421
65,34,67,0.4,10,85,12,5436.0,7.812931776046753
50,28,60,0.2,10,90,17,22222.0,7.844026803970337
30,37,71,0.6000000000000001,15,75,2,-4476.0,7.884829759597778
50,38,60,0.6000000000000001,10,80,17,14868.0,7.907520055770874
65,35,61,0.4,20,75,13,35428.0,7.982172966003418
45,34,71,0.30000000000000004,20,90,16,4574.0,8.04069709777832
50,29,67,0.5,10,85,15,10139.0,7.9410271644592285
65,32,60,0.5,15,85,9,24118.0,7.769388914108276
65,26,70,0.30000000000000004,10,75,14,6100.0,7.801519155502319
65,34,61,0.2,15,90,18,32368.0,8.023802042007446
40,26,67,0.5,10,75,3,16804.0,7.839785099029541
45,37,65,0.1,20,75,3,14392.0,7.926862001419067
60,35,73,0.6000000000000001,15,80,13,-6.0,7.455981016159058
30,30,66,0.6000000000000001,10,75,14,10081.0,7.502930164337158
55,25,61,0.6000000000000001,10,75,6,10826.0,7.44663405418396
65,26,61,0.30000000000000004,15,90,15,11254.0,7.425452709197998
30,40,75,0.1,15,80,18,-7813.0,7.576947927474976
50,38,61,0.6000000000000001,15,75,19,13780.0,7.698882818222046
70,25,66,0.2,15,80,8,7078.0,7.602615118026733
45,32,71,0.30000000000000004,20,90,14,6848.0,7.674081087112427
65,29,73,0.30000000000000004,15,75,14,5570.0,7.798504829406738
40,28,73,0.1,10,90,2,-1772.0,7.447107791900635
70,29,61,0.4,10,75,6,14034.0,7.56304407119751
35,26,67,0.6000000000000001,10,90,14,20646.0,7.594746828079224
40,38,63,0.4,10,75,17,-5344.0,7.475054025650024
65,26,60,0.2,20,75,9,11081.0,7.60162091255188
45,40,72,0.2,10,90,10,-1819.0,7.55282187461853
45,32,63,0.1,15,90,9,17737.0,7.612256050109863
30,30,68,0.5,10,90,12,11060.0,7.6344969272613525
60,29,70,0.1,10,80,19,1286.0,7.553976058959961
50,31,71,0.5,15,75,14,10822.0,7.430063962936401
55,31,73,0.1,20,75,11,-4214.0,7.4646337032318115
70,37,69,0.6000000000000001,10,85,18,-3117.0,7.5847861766815186
50,32,66,0.30000000000000004,10,90,10,11791.0,7.531630992889404
65,30,73,0.4,10,80,13,-2776.0,7.562108039855957
70,29,65,0.6000000000000001,10,75,14,14048.0,7.422104120254517
45,26,69,0.4,20,85,7,10453.0,7.4937379360198975
55,26,65,0.1,10,80,15,10988.0,7.49760103225708
35,33,68,0.6000000000000001,15,80,5,13612.0,7.614965915679932
70,34,70,0.1,15,85,5,-3779.0,7.470221757888794
30,26,62,0.2,10,80,12,15638.0,7.6746580600738525
65,26,67,0.30000000000000004,20,75,13,7814.0,7.579287052154541
55,39,63,0.4,15,90,16,18677.0,7.59049129486084
70,34,70,0.2,20,90,8,-4766.0,7.609501361846924
50,28,75,0.6000000000000001,10,80,17,-1439.0,7.433678150177002
50,34,69,0.30000000000000004,20,85,4,13473.0,7.613458871841431
70,39,75,0.2,20,75,6,-7036.0,7.611332178115845
40,30,67,0.6000000000000001,10,80,13,13795.0,7.583625078201294
70,28,63,0.5,20,80,6,12159.0,7.687749862670898
50,28,69,0.5,10,90,12,11851.0,7.74979305267334
50,35,75,0.2,10,80,12,528.0,7.754735946655273
70,35,63,0.6000000000000001,10,85,10,19838.0,7.817946195602417
35,32,67,0.1,15,85,17,23724.0,7.788591146469116
50,32,71,0.5,20,75,15,10118.0,7.865657091140747
40,33,65,0.6000000000000001,10,90,15,16047.0,7.785490036010742
65,38,61,0.1,15,80,3,31154.0,7.708968877792358
70,39,68,0.4,10,85,19,4985.0,7.757307767868042
35,39,72,0.2,20,90,9,-3488.0,7.963243007659912
70,37,63,0.1,15,90,16,19268.0,7.707522869110107
50,27,70,0.2,15,80,7,5742.0,7.613826036453247
45,35,68,0.1,20,85,9,10361.0,7.927072048187256
70,38,72,0.6000000000000001,15,90,12,-5476.0,7.676970958709717
40,28,70,0.1,20,80,10,2860.0,7.634305953979492
65,28,71,0.1,15,85,18,11384.0,7.791818141937256
70,27,66,0.4,15,75,7,13040.0,7.847328186035156
30,38,64,0.4,15,75,4,-25072.0,7.820620059967041
35,27,66,0.1,10,90,17,26558.0,7.487351179122925
30,37,63,0.4,15,90,15,-19059.0,7.543704986572266
55,37,64,0.4,20,85,15,23751.0,7.584847688674927
45,35,75,0.1,10,75,16,-1689.0,7.476358890533447
35,32,60,0.5,15,75,16,9949.0,7.536281108856201
55,27,63,0.6000000000000001,20,80,6,13664.0,7.549070119857788
30,35,74,0.6000000000000001,20,85,6,-1158.0,7.574312925338745
55,37,74,0.1,15,75,11,-654.0,7.4499428272247314
55,28,64,0.5,15,80,10,17093.0,7.608387231826782
45,26,64,0.1,15,75,4,13978.0,7.508324146270752
35,25,67,0.1,15,90,15,19458.0,7.510109186172485
50,34,75,0.5,20,85,7,1225.0,7.450470924377441
40,30,65,0.5,10,85,6,18934.0,7.506458044052124
55,32,68,0.2,15,80,19,9672.0,7.466106176376343
30,27,70,0.2,10,80,11,15925.0,7.373141050338745
40,27,73,0.6000000000000001,15,80,7,-9316.0,7.5209410190582275
45,29,60,0.5,15,90,7,27752.0,7.4289069175720215
55,39,65,0.5,15,80,17,16558.0,7.364673852920532
70,37,75,0.2,20,80,4,-4129.0,7.42465615272522
30,33,65,0.1,15,75,6,4757.0,7.426793098449707
70,36,71,0.30000000000000004,10,85,10,-4959.0,7.606817007064819
60,25,73,0.2,20,85,4,8987.0,7.336272954940796
70,39,63,0.1,10,80,18,23987.0,7.509552955627441
60,37,61,0.6000000000000001,15,90,13,30108.0,7.518656015396118
40,30,67,0.30000000000000004,15,85,8,13089.0,7.6120359897613525
60,26,73,0.1,20,90,17,12421.0,7.481150150299072
55,30,66,0.4,20,75,19,11562.0,7.548823833465576
55,36,66,0.30000000000000004,20,85,8,22539.0,7.418259859085083
55,29,72,0.2,20,80,2,-5042.0,7.374408960342407
30,31,64,0.6000000000000001,10,75,2,4042.0,7.376443862915039
35,25,63,0.1,20,90,3,19564.0,7.5192461013793945
50,26,69,0.5,10,75,2,5825.0,7.437194108963013
65,32,63,0.5,20,90,4,21166.0,7.344099044799805
70,30,66,0.5,20,90,11,12780.0,7.508459806442261
60,30,63,0.6000000000000001,15,75,7,21920.0,7.501784086227417
65,31,66,0.5,10,85,3,8506.0,7.339598178863525
55,40,60,0.1,10,80,15,14184.0,7.462299823760986
55,31,72,0.4,15,85,17,-1580.0,7.395932197570801
30,40,60,0.6000000000000001,15,90,17,-48249.0,7.60154390335083
70,35,71,0.2,15,85,2,-3124.0,7.4442150592803955
40,25,70,0.4,20,85,14,8348.0,7.494865894317627
55,28,67,0.6000000000000001,15,75,16,8293.0,7.376009941101074
70,37,65,0.2,15,75,5,13738.0,7.454810857772827
45,38,72,0.5,10,80,14,83.0,7.450490951538086
55,29,61,0.2,15,85,17,23900.0,7.492546081542969
40,37,73,0.30000000000000004,20,90,15,-506.0,7.461427927017212
50,34,74,0.30000000000000004,20,80,11,1922.0,7.5277099609375
50,32,72,0.2,20,90,11,6280.0,7.569361209869385
70,29,70,0.6000000000000001,20,85,11,6632.0,7.641322135925293
40,37,63,0.6000000000000001,20,75,10,-1496.0,7.73325777053833
50,34,60,0.2,15,85,14,26934.0,7.729055881500244
40,39,74,0.1,20,75,13,-5692.0,7.627251148223877
60,33,64,0.2,20,75,14,30061.0,7.647927761077881
50,38,73,0.2,15,80,11,-1960.0,7.543179988861084
60,34,72,0.2,10,75,3,1413.0,7.715472221374512
35,38,66,0.5,20,85,9,-9668.0,7.898416042327881
40,27,73,0.6000000000000001,10,85,9,-8945.0,7.809812068939209
30,36,63,0.2,15,75,14,-17702.0,7.777745246887207
40,29,62,0.30000000000000004,15,90,8,17366.0,7.725193977355957
35,30,72,0.2,15,85,13,10182.0,7.832503080368042
55,28,75,0.4,20,90,2,-869.0,7.697941064834595
45,38,68,0.5,20,80,19,2292.0,7.753369092941284
60,39,63,0.2,10,75,7,19509.0,7.962170839309692
70,28,71,0.30000000000000004,10,90,14,6533.0,7.7721168994903564
45,36,68,0.4,20,80,19,7243.0,7.592228889465332
35,35,75,0.6000000000000001,20,80,10,-2404.0,7.7025511264801025
35,33,63,0.6000000000000001,10,80,11,14768.0,7.722529172897339
70,34,70,0.30000000000000004,15,75,5,-4733.0,7.762242078781128
50,39,68,0.4,10,85,19,4362.0,7.6370649337768555
55,31,67,0.5,10,90,7,11176.0,7.696636915206909
45,30,66,0.2,20,85,12,11822.0,7.771168947219849
50,39,64,0.1,20,90,5,12637.0,7.7985498905181885
65,36,66,0.2,10,80,6,15297.0,7.414228200912476
30,31,74,0.1,10,80,14,8652.0,7.491273880004883
45,30,65,0.5,10,80,8,19970.0,7.531224966049194
35,27,60,0.5,10,75,8,17680.0,7.587629079818726
55,40,61,0.30000000000000004,15,80,4,7565.0,7.532712936401367
50,34,73,0.5,10,90,2,1316.0,7.56690526008606
40,30,63,0.1,15,85,16,17411.0,7.561830997467041
50,26,69,0.6000000000000001,15,75,10,6564.0,7.487183094024658
30,37,69,0.5,15,90,10,-7283.0,7.512174129486084
30,38,64,0.5,20,85,3,-25900.0,7.532812833786011
60,25,67,0.30000000000000004,20,85,3,8532.0,7.606568098068237
70,25,60,0.6000000000000001,15,90,3,10007.0,7.645878076553345
50,38,63,0.4,15,80,10,10685.0,7.543853998184204
40,31,61,0.2,10,75,19,15760.0,7.67519998550415
60,30,67,0.1,20,85,2,3656.0,7.75409197807312
60,39,74,0.30000000000000004,10,80,5,-2811.0,7.710546970367432
50,26,67,0.30000000000000004,15,75,2,5392.0,7.529067039489746
70,34,71,0.4,20,80,10,-5175.0,7.605100631713867
70,25,69,0.30000000000000004,10,85,18,5110.0,7.345452070236206
70,31,65,0.30000000000000004,10,85,13,11640.0,7.399289846420288
65,39,62,0.30000000000000004,20,85,10,22748.0,7.366366863250732
65,29,62,0.30000000000000004,10,75,16,11751.0,7.424854040145874
35,28,66,0.4,10,80,13,25650.0,7.433489799499512
50,27,64,0.2,10,80,5,14921.0,7.569941997528076
60,39,67,0.4,15,90,10,10188.0,7.493457794189453
65,37,70,0.5,10,90,16,523.0,7.641767978668213
70,31,65,0.6000000000000001,20,85,13,12783.0,7.523483037948608
40,38,63,0.6000000000000001,20,75,11,-5356.0,7.432787895202637
30,27,60,0.6000000000000001,15,75,9,11654.0,7.3269360065460205
60,39,67,0.4,10,80,19,10891.0,7.376535177230835
65,38,74,0.30000000000000004,10,75,10,-4464.0,7.617302179336548
65,29,69,0.1,15,75,13,4059.0,7.366566181182861
65,33,64,0.6000000000000001,15,90,19,17634.0,7.516536235809326
50,28,66,0.4,20,85,5,13862.0,7.5289061069488525
65,26,66,0.6000000000000001,20,80,3,9410.0,7.496545076370239
60,39,64,0.2,10,90,17,17647.0,7.529695987701416
60,27,72,0.1,20,85,2,10522.0,7.2460410594940186
45,32,68,0.2,20,80,12,12798.0,7.431164026260376
70,28,75,0.2,15,85,8,4099.0,7.441518783569336
35,37,65,0.1,20,75,12,-7612.0,7.424245834350586
55,33,69,0.6000000000000001,10,85,18,15418.0,7.509387016296387
60,40,65,0.4,15,75,14,13837.0,7.484864950180054
50,30,71,0.1,20,80,14,10600.0,7.460161209106445
65,36,74,0.2,10,80,7,-1803.0,7.5153069496154785
40,40,66,0.5,10,85,10,-9136.0,7.445399045944214
55,35,65,0.30000000000000004,10,85,13,26964.0,7.40482497215271
40,38,70,0.6000000000000001,15,75,12,2716.0,7.354586124420166
60,36,67,0.6000000000000001,15,75,11,15238.0,7.489570140838623
70,38,67,0.4,15,80,19,2655.0,7.56689715385437
35,36,68,0.4,15,85,8,5125.0,7.510532855987549
50,28,74,0.30000000000000004,20,75,6,-1969.0,7.476442813873291
60,30,60,0.6000000000000001,20,85,14,23928.0,7.529152154922485
70,33,68,0.1,10,80,13,-2281.0,7.543459177017212
30,37,65,0.5,10,85,8,-16274.0,7.576022148132324
30,34,71,0.1,15,80,7,7759.0,7.465183973312378
55,25,75,0.30000000000000004,15,75,5,6544.0,7.583183765411377
65,29,74,0.6000000000000001,20,75,9,5512.0,7.652921915054321
30,27,70,0.5,10,75,3,17445.0,7.704422950744629
40,27,62,0.2,20,85,5,20776.0,7.704730033874512
65,34,69,0.6000000000000001,10,85,16,-945.0,7.743113040924072
40,32,62,0.1,15,90,9,18485.0,7.836092948913574
70,38,63,0.5,10,85,13,26322.0,7.951545238494873
35,38,61,0.5,15,80,6,-19324.0,7.787603855133057
50,34,71,0.4,15,85,11,7436.0,7.772706031799316
30,37,61,0.1,15,80,5,-17864.0,7.531897068023682
50,30,64,0.2,15,75,12,23720.0,7.481750011444092
35,27,63,0.2,15,85,10,25287.0,7.392206192016602
70,39,71,0.1,10,90,6,-5459.0,7.440712928771973
45,28,66,0.2,10,75,5,10518.0,7.603309869766235
55,29,63,0.5,10,80,10,23246.0,7.512874126434326
65,30,71,0.6000000000000001,20,90,7,1322.0,7.550146102905273
60,31,62,0.6000000000000001,10,90,14,23860.0,7.631114959716797
45,25,73,0.2,20,90,18,7506.0,7.424065113067627
50,26,66,0.2,15,80,6,7100.0,7.484755277633667
50,37,60,0.2,15,75,4,23398.0,7.53787899017334
60,28,70,0.1,10,90,14,2563.0,7.548310995101929
45,37,61,0.6000000000000001,15,85,2,3245.0,7.424041986465454
60,33,75,0.30000000000000004,20,75,5,-1740.0,7.442511796951294
60,27,73,0.5,15,80,9,10550.0,7.554707050323486
40,32,67,0.5,15,90,3,17604.0,7.538203001022339
30,29,65,0.2,20,75,4,15514.0,7.458728075027466
40,38,66,0.30000000000000004,10,80,10,-3610.0,7.3520588874816895
45,34,63,0.30000000000000004,10,75,14,12025.0,7.4596240520477295
30,37,62,0.6000000000000001,20,75,16,-21292.0,7.5485522747039795
30,32,60,0.2,15,75,5,-6874.0,7.441718101501465
40,39,74,0.2,20,75,8,-5726.0,7.6043031215667725
70,35,67,0.30000000000000004,10,85,19,1697.0,7.44734525680542
55,38,69,0.30000000000000004,15,75,13,10594.0,7.443329095840454
45,35,66,0.1,10,85,12,16856.0,7.475352048873901
65,35,69,0.1,15,80,16,2044.0,7.5575079917907715
